FIA_Code,CommonName,ScientificName,USDASP
7751,roundleaf melicope,Melicope rotundifolia,MERO3
7752,St. Johns melicope,Melicope saint-johnii,MESA4
7753,Mt. Kaala melicope,Melicope sandwicensis,MESA5
7754,melicope,Melicope spp.,MELIC3
7755,volcanic melicope,Melicope volcanica,MEVO
7756,alani wai,Melicope waialealae,MEWA2
7757,Monoa melicope,Melicope wawraeana,MEWA4
7758,kipuka piaula,Melicope zahlbruckneri,MEZA
7759,samoensis,Melicytus samoensis,MESA9
7766,mao,Melochia aristata,MEAR16
7767,melochia,Melochia spp.,MELOC
7769,hierba del soldado,Melochia umbellata,MEUM3
7770,sayafe,Melochia villosissima var compacta,MEVIC4
7771,sayafe,Melochia villosissima,MEVIV
7774,faniok,Merrilliodendron megacarpum,MEME12
7776,fagufagu,Meryta macrophylla,MEMA16
7777,omechidel,Meryta senfftiana,MESE11
7778,Meryta,Meryta spp.,MERYT
7781,collina,Metrosideros collina,MEPOP2
7782,ohia,Metrosideros macropus,MEMA4
7783,ohia lehua,Metrosideros polymorpha,MEPO5
7792,lehua papa,Metrosideros rugosa,MERU2
7793,lehua,Metrosideros spp.,METRO
7794,lehua ahihi,Metrosideros tremuloides,METR5
7795,Kauai bottlebrush,Metrosideros waialealae,MEWA
7798,ivory-nut palm,Metroxylon amicarum,MEAM4
7799,sago palm,Metroxylon sagu,MESA7
7800,Metroxylon,Metroxylon spp.,METRO2
7801,Orange Champak,Michelia champaca,MICH4
7805,velvet tree,Miconia calvescens,MICA20
7824,talafulu,Micromelum minutum,MIMI23
7831,pinnata,Millettia pinnata,MIPI9
7835,"bulletwood, elengi",Mimusops elengi,MIEL4
7841,treedaisy,Montanoa hibiscifolia,MOHI
7842,montanoa,Montanoa spp.,MONTA
7845,Morella cerifera,Morella cerifera,MOCE2
7846,firetree,Morella faya,MOFA
7848,bayberry,Morella spp.,MOREL2
7849,Indian mulberry,Morinda citrifolia,MOCI3
7850,ngel,Morinda latibractea,MOLA12
7851,Morinda pedunculata,Morinda pedunculata,MOPE2
7852,morinda,Morinda spp.,MORIN
7853,noni kuahiwi,Morinda trimera,MOTR
7855,horseradishtree,Moringa oleifera,MOOL
7865,falseohe,Munroidendron racemosum,MURA3
7867,strawberrytree,Muntingia calabura,MUCA4
7868,muntingia,Muntingia spp.,MUNTI
7870,Murraya koenigii,Murraya koenigii,MUKO
7872,French plantain,Musa paradisiaca,MUPA3
7873,bungeltuu,Musa coccinea,MUCO8
7874,tama,Musa nana,MUNA
7875,tuu banana,Musa sapientum,MUSA
7876,meia,Musa spp.,MUSA2
7877,blantalos,Musa textilis,MUTE6
7878,tikap,Musa tikap,MUTI
7879,fei banana,Musa troglodytarum,MUTR2
7880,Mussaenda frondosa,Mussaenda frondosa,MUFR3
7881,aloalo vao,Mussaenda raiateensis,MURA5
7882,Mussaenda,Mussaenda spp.,MUSSA
7883,naio,Myoporum sandwicense,MYSA
7884,myoporum,Myoporum spp.,MYOPO
7892,rodwood,Myrcia spp.,MYRCI
7894,jaboticaba,Myrciaria cauliflora,MYCA9
7899,"yamamomo, strawberry tree",Myrica rubra,MYRU3
7900,sweetgale,Myrica spp.,MYRIC
7902,atoneulu,Myristica hypargyraea,MYHY2
7903,adepurot,Myristica insularis,MYIN3
7904,Myristica,Myristica spp.,MYRIS
7906,Myristica inutilis,Myristica inutilis,MYIN4
7910,forest colicwood,Myrsine alyxifolia,MYAL4
7913,summit colicwood,Myrsine degeneri,MYDE2
7914,mountain colicwood,Myrsine emarginata,MYEM
7915,streambank colicwood,Myrsine fernseei,MYFE
7916,Koolau Range colicwood,Myrsine fosbergii,MYFO
7918,Wahiawa Bog colicwood,Myrsine helleri,MYHE3
7919,Kauai colicwood,Myrsine kauaiensis,MYKA
7920,Kokee colicwood,Myrsine knudsenii,MYKN
7921,Lanai colicwood,Myrsine lanaiensis,MYLA3
7922,kolea lau nui,Myrsine lessertiana,MYLE2
7923,Hanapepe River colicwood,Myrsine mezii,MYME2
7924,swamp colicwood,Myrsine petiolata,MYPE3
7925,Molokai colicwood,Myrsine pukooensis,MYPU2
7926,kokea lau lii,Myrsine sandwicensis,MYSA2
7927,colicwood,Myrsine spp.,MYRSI
7928,Mt. Kahili colicwood,Myrsine wawraea,MYWA
7929,Myrsine palauensis,Myrsine palauensis,MYPA7
7942,fao,Neisosperma oppositifolia,NEOP
7948,afa,Neonauclea forsteri,NEFO2
7952,Rambutan,Nephelium lappaceum,NELA7
7953,pulasan,Nephelium ramboutan-ake,NERA3
7954,maaloa,Neraudia melastomifolia,NEME5
7958,keahi,Nesoluma polynesicum,NEPO
7960,Hawaii olive,Nestegis sandwicensis,NESA2
7961,nestegis,Nestegis spp.,NESTE
7962,"kalm, aralm",Neuburgia celebica,NECE
7964,tree tobacco,Nicotiana glauca,NIGL
7965,tobacco,Nicotiana spp.,NICOT
7966,smallflower aiea,Nothocestrum breviflorum,NOBR2
7967,broadleaf aiea,Nothocestrum latifolium,NOLA
7968,longleaf aiea,Nothocestrum longifolium,NOLO
7969,Oahu aiea,Nothocestrum peltatum,NOPE
7970,aiea,Nothocestrum spp.,NOTHO3
7971,kaala rockwort,Nototrichium humile,NOHU
7972,Hawaii rockwort,Nototrichium sandwicense,NOSA
7974,"toechel, teuechel",Nypa fruticans,NYFR2
7977,ochna,Ochna spp.,OCHNA
7978,Thomas birds-eye bush,Ochna thomasiana,OCTH
7980,Ochroma pyramidale,Ochroma pyramidale,OCPY
7982,holei,Ochrosia compta,OCCO
7983,island yellowwood,Ochrosia haleakalae,OCHA
7984,Kauai yellowwood,Ochrosia kauaiensis,OCKA
7985,Hawaii yellowwood,Ochrosia kilaueaensis,OCKI
7986,yellowwood,Ochrosia spp.,OCHRO2
7987,langiti,Ochrosia mariannensis,OCMA2
8000,oleandra fern,Oleandra neriiformis,OLNE
8004,olive,Olea europaea,OLEU
8007,olive,Olea spp.,OLEA
8008,fanuamamala,Homalanthus acuminatus,HOAC4
8009,fanuamamala,Homalanthus nutans,HONU3
8010,Homalanthus,Homalanthus spp.,HOMAL6
8011,Ophiorrhiza palauensis,Ophiorrhiza palauensis,OPPA4
8013,cochineal nopal cactus,Opuntia cochenillifera,OPCO4
8014,tuna cactus,Opuntia ficus-indica,OPFI
8015,common pricklypear,Opuntia monacantha,OPMO5
8018,pricklypear,Opuntia spp.,OPUNT
8019,"amansis, edebsungelked, necklace bead tree",Ormosia calavensis,ORCA12
8022,kesiamel,Osmoxylon oliveri,OSOL
8023,kesiamel,Osmoxylon pachyphyllum,OSPA
8024,Osmoxylon,Osmoxylon spp.,OSMOX
8036,"miich era ngebard, guiana chestnut",Pachira aquatica,PAAQ2
8044,gasu,Palaquium stehlinii,PAST24
8053,Pandanus japensis,Pandanus japensis,PAJA2
8054,chertochet,Pandanus aimiriikensis,PAAI
8055,matal,Pandanus cominsii,PACO51
8056,ongor,Pandanus compressus,PACO3
8057,silaue,Pandanus cylindricus,PACY10
8058,kienpel,Pandanus dilatatus,PADI2
8059,ongor,Pandanus divergens,PADI29
8060,pahong,Pandanus dubius,PADU3
8061,ongor,Pandanus duriocarpus,PADU4
8062,moak,Pandanus enchabiensis,PAEN
8063,hara,Pandanus fischerianus,PAFI
8064,aggag,Pandanus fragrans,PAFR7
8065,nenketak,Pandanus hosinoi,PAHO6
8066,pacheren,Pandanus jaluitensis,PAJA3
8067,buuk,Pandanus kanehirae,PAKA2
8068,siu,Pandanus korrensis,PAKO2
8069,lakatwa,Pandanus lakatwa,PALA3
8070,"erwan, jonmouia",Pandanus laticanaliculatus,PALA4
8071,"intekul, pasyure",Pandanus macrocephalus,PAMA3
8072,"ongor, ertochet",Pandanus macrojeanneretia,PAMA32
8073,menne,Pandanus menne,PAME18
8074,Palaquium karrak,Palaquium karrak,PAKA
8075,Pandanus odontoides,Pandanus odontoides,PAOD2
8076,"ongor, ertochet",Pandanus palawensis,PAPA38
8077,peet,Pandanus patina,PAPA39
8078,ongor,Pandanus peliliuensis,PAPE
8079,"alwan, kipal, taip",Pandanus ponapensis,PAPO2
8080,"deipw, jomineia",Pandanus pulposus,PAPU18
8081,pathaplip,Pandanus rectangulatus,PARE2
8082,fasa,Pandanus reineckei,PARE19
8083,magojokojok,Pandanus rotundatus,PARO2
8084,screwpine,Pandanus spp.,PANDA
8085,Tahitian screwpine,Pandanus tectorius,PATE2
8086,kiparenwel,Pandanus tolotomensis,PATO6
8087,mojel,Pandanus trukensis,PATR
8088,common screwpine,Pandanus utilis,PAUT
8090,berrakelongor,Pandanus variegatus,PAVA4
8091,rauel,Pangium edule,PAED4
8092,"lonlin, lajokorer",Pandanus obliquus,PAOB7
8103,sea,Parinari insularum,PAIN20
8104,ais,Parinari laurina,PALA5
8105,Parinari,Parinari spp.,PARIN
8107,Parkia korom,Parkia korom,PAKO5
8108,kmekumer,Parkia parvifoliola,PAPA2
8111,Jerusalem thorn,Parkinsonia aculeata,PAAC3
8112,paloverde,Parkinsonia spp.,PARKI2
8121,Peltophorum pterocarpum,Peltophorum pterocarpum,PEPT3
8123,ngis,Pemphis acidula,PEAC6
8129,Pericopsis mooniana,Pericopsis mooniana,PEMO13
8131,olomea,Perrottetia sandwicensis,PESA3
8146,Phaleria nisidai,Phaleria nisidai,PHNI11
8151,Canary Island date palm,Phoenix canariensis,PHCA13
8152,date palm,Phoenix dactylifera,PHDA4
8153,date palm,Phoenix spp.,PHOEN2
8154,date palm,Phoenix sylvestris,PHSY3
8155,Chinese  photinia,Photinia davidiana,PHDA5
8157,Tahitian gooseberry tree,Phyllanthus acidus,PHAC3
8159,pamakani mahu,Phyllanthus distichus,PHDI10
8175,allspice,Pimenta dioica,PIDI2
8178,bayrumtree,Pimenta racemosa,PIRAG
8180,Pimenta,Pimenta spp.,PIMEN
8181,"chebouch, demailei",Pinanga insignis,PIIN5
8183,Caribbean pine,Pinus caribaea,PICA18
8187,Mexican weeping pine,Pinus patula,PIPA13
8188,maritime pine,Pinus pinaster,PIPI6
8205,Waimea pipturus,Pipturus albidus,PIAL2
8206,soga,Pipturus argenteus,PIAR8
8207,pipturus,Pipturus spp.,PIPTU
8210,piscidia,Piscidia spp.,PISCI
8212,Australasian catchbirdtree,Pisonia brunoniana,PIBR3
8213,grand devils-claws,Pisonia grandis,PIGR6
8214,aulu,Pisonia sandwicensis,PISA5
8215,catchbirdtree,Pisonia spp.,PISON
8217,umbrella catchbirdtree,Pisonia umbellifera,PIUM2
8218,Kauai catchbirdtree,Pisonia wagneriana,PIWA2
8220,monkeypod,Pithecellobium dulce,PIDU
8224,"Mona cheesewood, Pittosporum",Pittosporum monae,PIMO4
8225,kamal,Pittosporum ferrugineum,PIFE3
8226,Hawaii poisonberry tree,Pittosporum argentifolium,PIAR4
8227,hoawa,Pittosporum confertiflorum,PICO4
8228,Waianae Range cheesewood,Pittosporum flocculosum,PIFL4
8229,Waialeale cheesewood,Pittosporum gayanum,PIGA2
8230,Koolau Range cheesewood,Pittosporum glabrum,PIGL4
8231,hoawa,Pittosporum halophilum,PIHA3
8232,Hawaii cheesewood,Pittosporum hawaiiense,PIHA4
8233,Kona cheesewood,Pittosporum hosmeri,PIHO
8234,Kauai cheesewood,Pittosporum kauaiense,PIKA3
8235,royal cheesewood,Pittosporum napaliense,PINA
8236,Taiwanese cheesewood,Pittosporum pentandrum,PIPE8
8238,cheesewood,Pittosporum spp.,PITTO
8239,cream cheesewood,Pittosporum terminalioides,PITE5
8240,Australian cheesewood,Pittosporum undulatum,PIUN2
8241,cape cheesewood,Pittosporum viridiflorum,PIVI5
8242,alaa,Planchonella garberi,PLGA2
8243,alaa,Planchonella grayana,PLGR11
8244,alaa,Planchonella linggensis,PLLI6
8246,mamalava,Planchonella samoensis,PLSA9
8247,Planchonella,Planchonella spp.,PLANC
8248,mamalava,Planchonella torricellensis,PLTO2
8250,Hawaii pilo kea,Platydesma remyi,PLRE4
8251,Maui pilo kea,Platydesma spathulata,PLSP3
8252,platydesma,Platydesma spp.,PLATY
8257,golden hala pepe,Pleomele aurea,PLAU2
8258,Maui hala pepe,Pleomele auwahiensis,PLAU5
8259,Lanai hala pepe,Pleomele fernaldii,PLFE
8260,Waianae Range hala pepe,Pleomele forbesii,PLFO2
8261,royal hala pepe,Pleomele halapepe,PLHA3
8262,Hawaii hala pepe,Pleomele hawaiiensis,PLHA4
8263,hala pepe,Pleomele spp.,PLEOM
8269,Plumeria obtusa,Plumeria obtusa,PLOBO
8271,templetree,Plumeria rubra,PLRU2
8272,Plumeria,Plumeria spp.,PLUME
8283,bungaruau,Polyscias grandifolia,POGR28
8284,geranium aralia,Polyscias guilfoylei,POGU
8285,Polyscias macgillivrayi,Polyscias macgillivrayi,POMA
8286,bngei,Polyscias nodosa,PONO10
8287,tagitagi,Polyscias samoensis,POSA27
8288,shield aralia,Polyscias scutellaria,POSC10
8289,Polyscias,Polyscias spp.,POLYS4
8290,tava,Pometia pinnata,POPI12
8292,kattai,Ponapea hosinoi,POHO
8293,Ponapea ledermanniana,Ponapea ledermanniana,POLE21
8294,Ponapea,Ponapea spp.,PONAP
8295,kisaks,Pongamia pinnata,POPI4
8297,Abiu,Pouteria caimito,POCA43
8298,"elangel, chelangel",Pouteria calcarea,POCA6
8299,eggfruit,Pouteria campechiana,POCA23
8303,lalahag,Pouteria obovata,POOB8
8304,alaa,Pouteria sandwicensis,POSA11
8305,mammee sapote,Pouteria sapota,POSA13
8306,pouteria,Pouteria spp.,POUTE
8307,ahgao,Premna obtusifolia,PROB
8308,Premna pubescens,Premna pubescens,PRPU5
8309,aloalo,Premna serratifolia,PRSE6
8310,Premna,Premna spp.,PREMN
8315,Hawaii pritchardia,Pritchardia affinis,PRAF
8316,Maui pritchardia,Pritchardia arecina,PRAR2
8317,Kilauea pritchardia,Pritchardia beccariana,PRBE
8318,Mt. Eke pritchardia,Pritchardia forbesiana,PRFO
8319,Makaleha pritchardia,Pritchardia hardyi,PRHA2
8320,loulu lelo,Pritchardia hillebrandii,PRHI
8321,Waianae Range pritchardia,Pritchardia kaalae,PRKA
8322,Lanai pritchardia,Pritchardia lanaiensis,PRLA3
8323,loulu,Pritchardia lanigera,PRLA4
8324,Limahuli Valley pritchardia,Pritchardia limahuliensis,PRLI2
8325,Molokai pritchardia,Pritchardia lowreyana,PRLO2
8326,Koolau Range pritchardia,Pritchardia martii,PRMA5
8327,Alakai Swamp pritchardia,Pritchardia minor,PRMI3
8328,Kamalo pritchardia,Pritchardia munroi,PRMU3
8329,fan palm,Pritchardia pacifica,PRPA11
8330,Waioli Valley pritchardia,Pritchardia perlmanii,PRPE7
8331,Nihoa pritchardia,Pritchardia remota,PRRE
8336,lands of papa pritchardia,Pritchardia schattaueri,PRSC
8337,pritchardia,Pritchardia spp.,PRITC
8338,stickybud pritchardia,Pritchardia viscosa,PRVI2
8339,poleline pritchardia,Pritchardia waialealeana,PRWA
8341,fua lole,Procris pedunculata,PRPE6
8343,mesquite,Prosopis juliflora,PRJU
8344,kiawe,Prosopis pallida,PRPA4
8355,strawberry guava,Psidium cattleianum,PSCA
8356,guava,Psidium guajava,PSGU
8365,Koolau Range wild coffee,Psychotria fauriei,PSFA
8366,largeflower wild coffee,Psychotria grandiflora,PSGR
8368,chimei,Psychotria carolinensis,PSCA18
8369,Kauai wild coffee,Psychotria greenwelliae,PSGR3
8370,Waianae Range wild coffee,Psychotria hathewayi,PSHA2
8373,kopikoula,Psychotria hawaiiensis,PSHA3
8377,woodland wild coffee,Psychotria hexandra,PSHE2
8382,Oahu wild coffee,Psychotria hexandra,PSHEO
8386,milolii kopiwai,Psychotria hobdyi,PSHO
8387,matalafi,Psychotria insularum,PSIN10
8388,kopiko kea,Psychotria kaduana,PSKA
8390,aplohkateng,Psychotria mariana,PSYMAR
8392,forest wild coffee,Psychotria mariniana,PSMA6
8393,opiko,Psychotria mauiensis,PSMA7
8398,Psychotria rhombocarpa,Psychotria rhombocarpa,PSRH2
8399,Psychotria rotensis,Psychotria rotensis,PSRO2
8400,wild coffee,Psychotria spp.,PSYCH
8401,leatherleaf wild coffee,Psychotria wawrae,PSWA2
8402,alahee,Psydrax odorata,PSOD
8404,Kauai pteralyxia,Pteralyxia kauaiensis,PTKA
8405,ridged pteralyxia,Pteralyxia macrocarpa,PTMA
8406,pteralyxia,Pteralyxia spp.,PTERA
8407,pterocarpus,Pterocarpus indicus,PTIN2
8412,Ptychococcus ledermannianus,Ptychococcus ledermannianus,PTLE3
8413,Psychotria cheathamiana,Psychotria cheathamiana,PSCH4
8415,Macarthur feather palm,Ptychosperma macarthuri,PTMA8
8416,chesdbuuch,Ptychosperma palauense,PTPA
8418,Ptychosperma,Ptychosperma spp.,PTYCH4
8424,cork oak,Quercus suber,QUSU5
8430,togo vao,Rapanea myricifolia,RAMY
8431,poison devils-pepper,Rauvolfia vomitoria,RAVO
8432,omechidel,Rauvolfia insularis,RAIN8
8434,devils-pepper,Rauvolfia sandwicensis,RASA3
8435,devils-pepper,Rauvolfia spp.,RAUVO
8436,traveler's tree,Ravenala madagascariensis,RAMA7
8440,vi vao,Reynoldsia lanutoensis,RELA
8442,ohe makai,Reynoldsia sandwicensis,RESA
8443,reynoldsia,Reynoldsia spp.,REYNO
8456,Rheeda,Rheedia edulis,RHED4
8458,mangle,Rhizophora apiculata,RHAP2
8460,Rhizophora lamarckii,Rhizophora lamarckii,RHLA12
8462,mangle hembra,Rhizophora mucronata,RHMU
8463,mangrove,Rhizophora spp.,RHIZO
8464,Rhizophora stylosa,Rhizophora stylosa,RHST8
8465,rose myrtle,Rhodomyrtus spp.,RHODO2
8466,Rhodomyrtus tomentosus,Rhodomyrtus tomentosa,RHTO10
8467,neneleau,Rhus sandwicensis,RHSA2
8468,sumac,Rhus spp.,RHUS
8469,tavai,Rhus taitensis,RHTA
8472,castorbean,Ricinus communis,RICO3
8473,ricinus,Ricinus spp.,RICIN
8474,Rinorea carolinensis,Rinorea carolinensis,RICA16
8480,Rollinia,Rollinia deliciosa,RODE5
8490,Roystonea elata,Roystonea elata,ROEL
8491,royal palm,Roystonea oleracea,ROOL
8503,"etkeam, cheskeam",Samadera indica,SAIN13
8505,raintree,Samanea saman,SASA10
8506,raintree,Samanea spp.,SAMAN
8509,common elderberry,Sambucus nigra,SANIC4
8510,raintree,Sambucus spp.,SAMBU
8515,"santol, kechapi",Sandoricum koetjape,SAKO4
8516,coastal sandalwood,Santalum ellipticum,SAEL2
8517,forest sandalwood,Santalum freycinetianum,SAFR4
8518,sandalwood,Santalum album,SAAL16
8521,Haleakala sandalwood,Santalum haleakalae,SAHA3
8522,mountain sandalwood,Santalum paniculatum,SAPA7
8525,willowleaf sandalwood,Santalum salicifolium,SASA8
8526,sandalwood,Santalum spp.,SANTA
8528,lonomea,Sapindus oahuense,SAOA3
8529,wingleaf soapberry,Sapindus saponaria,SASA4
8531,soapberry,Sapindus spp.,SAPIN
8532,vitiensis,Sapindus vitiensis,SAVI17
8534,maskerekur,Sapium indicum,SAIN2
8544,uunu,Sarcopygme pacifica,SAPA35
8548,"Scaevola, naupaka",Scaevola cerasifolia,SCCE3
8549,naupaka kuahiwi,Scaevola chamissoniana,SCCH3
8550,mountain naupaka,Scaevola gaudichaudiana,SCGA2
8551,forest naupaka,Scaevola procera,SCPR
8552,naupaka,Scaevola spp.,SCAEV
8553,Schefflera kraemeri,Schefflera kraemeri,SCKR2
8555,schaefferia,Schaefferia spp.,SCHAE
8559,samoensis,Schefflera samoensis,SCSA10
8560,Toitoi,Scaevola taccada,SCTA
8561,Peruvian peppertree,Schinus molle,SCMO
8563,Brazilian peppertree,Schinus terebinthifolius,SCTE
8577,kuat,Scyphiphora hydrophyllacea,SCHY5
8583,poumuli,Securinega flexuosa,SEFL9
8585,poison tree,Semecarpus kraemeri,SEKR3
8586,tonget,Semecarpus venenosa,SEVE4
8588,emperor's candlesticks,Senna alata,SEAL4
8590,Gaudichauds senna,Senna gaudichaudii,SEGA2
8591,false sicklepod,Senna multijuga,SEMU5
8592,valamuerto,Senna pendula,SEPE4
8595,senna,Senna septemtrionalis,SESE13
8596,Siamese cassia,Senna siamea,SESI3
8598,senna,Senna spp.,SENNA
8599,Senna sulfurea,Senna sulfurea,SESU10
8600,glossy shower,Senna surattensis,SESU4
8601,ukall,Serianthes kanehirae,SEKA2
8603,"hayun lago, trongkon guafi",Serianthes nelsonii,SENE9
8605,vegetable hummingbird,Sesbania grandiflora,SEGR5
8606,Egyptian riverhemp,Sesbania sesban,SESE8
8607,riverhemp,Sesbania spp.,SESBA
8608,Shirakiopsis indica,Shirakiopsis indica,SHIN
8609,yellow llima,Sida fallax,SIFA
8610,fanpetals,Sida spp.,SIDA
8628,American black nightshade,Solanum americanum,SOAM
8631,earleaf nightshade,Solanum mauritianum,SOMA3
8635,nightshade,Solanum spp.,SOLAN
8636,turkey berry,Solanum torvum,SOTO4
8639,mangrove,Sonneratia alba,SOAL10
8641,mamani,Sophora chrysophylla,SOCH
8642,necklacepod,Sophora spp.,SOPHO
8643,silver bush,Sophora tomentosa,SOTO3
8644,African tuliptree,Spathodea campanulata,SPCA2
8645,spathodea,Spathodea spp.,SPATH
8646,Spiraeanthemum samoense,Spiraeanthemum samoense,SPSA7
8649,Spondias dulcis,Spondias dulcis,SPDU3
8650,yellow mombin,Spondias mombin,SPMO
8653,Spondias,Spondias spp.,SPOND
8655,ngmui,Stemonurus ammui,STAM10
8656,titmel,Spondias pinnata,SPPI4
8660,maras,Soulamea amara,SOAM2
8665,fanaio,Sterculia fanaiho,STFA5
8667,Sterculia palauensis,Sterculia palauensis,STPA20
8669,anthropophagorum,Streblus anthropophagorum,STAN9
8670,Hawaii roughbush,Streblus pendulinus,STPE3
8671,streblus,Streblus spp.,STREB
8676,bay cedar,Suriana maritima,SUMA2
8678,mahogany,Swietenia spp.,SWIET
8679,Honduras mahogany,Swietenia macrophylla,SWMA
8687,"chebtui, ebtui",Symplocos racemosa,SYRA6
8689,turpentine tree,Syncarpia glomulifera,SYGL
8690,turpentine tree,Syncarpia spp.,SYNCA
8691,Miracle Berry,Synsepalum dulcificum,SYDU
8694,watery roseapple,Syzygium aqueum,SYAQ
8695,asi,Syzygium brevifolium,SYBR3
8696,popona,Syzygium carolinense,SYCA4
8697,asi vai,Syzygium clusiifolium,SYCL
8699,asi vai,Syzygium dealatum,SYDE3
8700,asi,Syzygium inophylloides,SYIN2
8701,Syzygium jambos,Syzygium jambos,SYJA
8702,Malaysian apple,Syzygium malaccense,SYMA2
8703,popona,Syzygium richii,SYRI3
8704,nonu vao,Syzygium samarangense,SYSA3
8705,fena vao,Syzygium samoense,SYSA6
8706,ohia ha,Syzygium sandwicense,SYSA
8708,syzygium,Syzygium spp.,SYZYG
8713,white cedar,Tabebuia heterophylla,TAHE
8714,pink tabebuia,Tabebuia pallida,TAPA10
8716,pink trumpet-tree,Tabebuia rosea,TARO
8718,trumpet-tree,Tabebuia spp.,TABEB
8719,Tabernaemontana aurantiaca,Tabernaemontana aurantiaca,TAAU3
8722,Pulu,Tabernaemontana pandacaqui,TAPA13
8723,Tabernaemontana rotensis,Tabernaemontana rotensis,TARO3
8737,manunu,Tarenna sambucina,TASA2
8741,chestnutleaf trumpetbush,Tecoma castanifolia,TECA9
8743,yellow trumpetbush,Tecoma stans,TEST
8744,teak,Tectona grandis,TEGR
8745,tectona,Tectona spp.,TECTO
8748,tropical almond,Terminalia spp.,TERMI
8749,kehma,Terminalia carolinensis,TECA16
8750,tropical almond,Terminalia catappa,TECA
8751,"esemiich, chesemiich",Terminalia crassipes,TECR3
8752,"esemiich, chesemiich",Terminalia edulis,TEED
8753,strand tree,Terminalia litoralis,TELI7
8755,tropical almond,Terminalia kaernbachii,TEKA4
8756,East Indian almond,Terminalia myriocarpa,TEMY
8758,malili,Terminalia richii,TERI3
8759,talie,Terminalia samoensis,TESA2
8770,Flynnsohe,Tetraplasandra flynnii,TEFL5
8771,Koolau Rangeohe,Tetraplasandra gymnocarpa,TEGY
8772,Hawaii ohe,Tetraplasandra hawaiensis,TEHA2
8773,ohe ohe,Tetraplasandra kavaiensis,TEKA3
8774,ohe mauka,Tetraplasandra oahuensis,TEOA
8775,tetraplasandra,Tetraplasandra spp.,TETRA11
8776,Mt. Waialeale ohe,Tetraplasandra waialealae,TEWA
8777,ohe kiko ola,Tetraplasandra waimeae,TEWA3
8779,Florida clover ash,Tetrazygia bicolor,TEBI
8784,cacao,Theobroma cacao,THCA
8787,Portia tree,Thespesia populnea,THPO3
8788,thespesia,Thespesia spp.,THESP
8789,luckynut,Thevetia peruviana,THPE3
8799,Timonius albus,Timonius albus,TIAL2
8800,kehn,Timonius ledermanii,TILE4
8801,tuhke duwehte kamal,Timonius ponapensis,TIPO5
8804,glorytree,Tibouchina spp.,TIBOU
8805,princess-flower,Tibouchina urvilleana,TIUR
8806,Timonius corymbosus,Timonius corymbosus,TICO7
8807,Timonius mollis,Timonius mollis,TIMO4
8808,Timonius,Timonius spp.,TIMON
8809,Timonius subauritus,Timonius subauritus,TISU3
8810,Timonius timon,Timonius timon,TITI
8811,redcedar,Toona spp.,TOONA
8812,Australian redcedar,Toona ciliata,TOCI
8822,olona,Touchardia latifolia,TOLA
8823,touchardia,Touchardia spp.,TOUCH
8824,velvetleaf soldierbush,Tournefortia argentea,TOAR2
8826,soldierbush,Tournefortia spp.,TOURN
8827,magele,Trema cannabina,TRCA33
8831,oriental trema,Trema orientalis,TROR
8832,trema,Trema spp.,TREMA
8837,Trichospermum ikutai,Trichospermum ikutai,TRIK
8838,"elsau, oleiulakersus",Trichospermum ledermannii,TRLE8
8839,maouli,Trichospermum richii,TRRI9
8842,limeberry,Triphasia trifolia,TRTR7
8846,faia,Tristiropsis obtusangula,TROB7
8849,Trukia carolinensis,Trukia carolinensis,TRCA7
8856,hopue,Urera glabra,URGL
8857,opuhe,Urera kaalae,URKA
8858,urera,Urera spp.,URERA
8863,Vavaea pauciflora,Vavaea pauciflora,VAOA5
8866,Manila palm,Veitchia merrillii,VEME3
8868,Sterculia ponapensis,Sterculia ponapensis,STPO10
8869,mu oil tree,Vernicia montana,VEMO3
8870,vernicia,Vernicia spp.,VERNI
8872,"bars, beokel",Vitex cofassus,VICO17
8874,smallflower chastetree,Vitex parviflora,VIPA6
8875,chastetree,Vitex spp.,VITEX
8876,simpleleaf chastetree,Vitex trifolia,VITR7
8884,ateate,Wedelia biflora,WEBI
8886,Weinmannia affinis,Weinmannia affinis,WEAF
8889,alpine false ohelo,Wikstroemia bicornuta,WIBI
8890,forest false ohelo,Wikstroemia furcata,WIFU
8891,montane false ohelo,Wikstroemia monticola,WIMO
8892,Oahu false ohelo,Wikstroemia oahuensis,WIOA
8895,Hawaii false ohelo,Wikstroemia phillyreifolia,WIPH2
8896,Kohala false ohelo,Wikstroemia pulcherrima,WIPU
8897,variableleaf false ohelo,Wikstroemia sandwicensis,WISA
8898,Skottsbergs false ohelo,Wikstroemia skottsbergiana,WISK
8899,false ohelo,Wikstroemia spp.,WIKST
8900,hairy false ohelo,Wikstroemia villosa,WIVI
8901,tallow wood,Ximenia americana,XIAM
8903,lalanyog,Xylocarpus granatum,XYGR
8904,leilei,Xylocarpus moluccensis,XYMO2
8905,Xylocarpus,Xylocarpus spp.,XYLOC2
8907,sawtooth logwood,Xylosma crenata,XYCR
8908,Hawaii brushholly,Xylosma hawaiiensis,XYHA
8909,Xylosma nelsonii,Xylosma nelsonii,XYNE2
8911,Xylosma samoensis,Xylosma samoensis,XYSA
8915,xylosma,Xylosma spp.,XYLOS
8925,kawau,Zanthoxylum dipetalum,ZADI
8929,Hawaii pricklyash,Zanthoxylum hawaiiense,ZAHA
8930,Kauai pricklyash,Zanthoxylum kauaense,ZAKA
8933,Oahu pricklyash,Zanthoxylum oahuense,ZAOA
